Label,Comments
0,Joss apu
0,Beshi Joss
0,Amar tumake valo lage Why r you so much cute
0,"Ufff jnn aidiky Dekho amiii,"
2,Ekhon amar friend list er meye ra eshe comment korbe
2,Crush chila hoday unfollow korlam bhalo thako biday prio..
2,Ami tomake amar friend der kache valo shajanor chesta kori Kintu tokhon e tmi eishob caption diye pic up koro :')))))but tao amar tumake lagbe
0,Arehhhh jaan
0,Tumi etto cute knooo gooo Joto dekhi totoi valobese feli
2,Awww bbu
2,Jaan Tumi jibone amr reply dila na! Kto vlobashi tmktmr ki chokhe porena ?
2,"Ayyyee salmuuu,tumi eto pocha keno!sbr reply daw khali amare chara...jaw ar kotha bolbbo na laag kocci"
0,I love you amr aj hsc exm dua koiro hubby ji
0,Uffff hott salman
2,Oidin na tmi krla
2,Kire tmr shomossa ki amne? Prottekdin ekta ekta pic up dite hoi j! Erkm krle toh beche thka mushkil hoye jbe bpyy
2,Example tumi
1,Salman shuno tmi valo hoye jaw tmr aishb kander karone tmr fan hoyeo nijek lojjay mukh dekhate pari nh
0,Awww tumar moto akta jamai payle amr ey jibon donnoh hoye jabe
0,Amr list er sob loyal meye der dekhe bhalo laglo
2,Abr ashlam comment kore famous hote
0,Etto handsome kn tmiiiii
1,Acca ATO Meyer emotions Niye khelar poreo Meyera tmr Sathe relationship e kmne jai ?Ami thik bujinah..r tmr mdhe ki amon aseh j tmr proti Meyera ato durbol hye jai..amito tmr mdhe crush khaoar mto kcu khuje paina bro
2,Ekta reply dibennnn pleaseeee ami famous hite chai
2,My babe on fire as usual Cholo duijon duijon er preme hoye jai taal mataal
2,Ektu shidur lagae den mathay
0,"KAZI Nazrul bolechen sei kobe "" Mora ek i brinte duti kusum Hindu Musalman "" ..Asun na sobai ei bhedabhed na rekhe nijeder Monushotyer porichoy dei. MITHILA EKJON MANUSH er theke ar kono boro porichoy nei. Anek bhai bon der comments korte dekhlam , Dhorme r dohai diye anek proshno korte dekhlum...plz esob er urdhe uthun Dhormo mane tothakothito Hindu Musalman, Kristan noi ..Dhormo maane Manab dhormo...ei hingsha, biddesh poshon korle se basically Dhormoheen prani. Ek kothay Omanush."
1,Moroner voy koro apu
2,Sidur kothy afa
2,ai dek sunehra salman ar loge  rafsan re chaira dise
2,Akta meya diba
2,Amakeo nita
0,ki sundor babu ta
2,Tmk kotttoooo Miss krsi
2,Vava go vava...tmder abr pre birthday celebration o hoi?? Boroloki bepar separ
2,"Vai onk a baje baje cmnt krticen, aita thik na. . . . . . . . . . . . . . . . . . .ro koren,,amr ki hudai akta cmnt krlm"
2,Akta reply deo please
2,Tmio poor.. Amio poor..cholo biye kore nei bebs
2,Oh birthday! Ami bhabsilam reg day
2,ayhay tomader o rag day? T-shirt e kichu likhonai keno
2,Apnar ki shit lagena??
0,Amr chokh sudhu tomar dikei jay
2,3 meye ke neuar drkr chilo tmr
2,Allahh ami koiii!!!Amake dekha jacche na keno jaan?
0,Babe tomar theke chokh soraite parinaSalman tumi shudu Amar
2,Tomare sedin dekhlam salman. Amar pashe diya gari chalaya gela
2,Exm er karone ami aste pari nai sorry But next time amio tmder shate thakbo
2,tomake eto meyer majhe dekhle to kosto lage jaan
2,Ami top fan badge kibhabe pelam
2,Aj theke tumi ar amr crush nh
2,Amr bashar niche na ashar kotha silo na aesa aesb krso Ae tmr vlobasha salman
0,white t-shirt a joss lage tomay
2,Jaan amr birthday ta toh ashla na tmi
2,Apu owr kache theke duree thakiyen
2,Bbe tmk 3ta meyer sathe dekhe ksto pelam
2,kio vai sheet kore na!?
0,I love u Jan Sobair thke tumke khub bhalo ar hot lgse My cute bby
1,Sob gula kalo manush er moddhe Amr sallu jan tai besi sundor ???? ????????? ????? ?? ???? ??????
2,Amr boyfriend tmr pic e kotto comment kore edaning or afsos tmre o roast korte chay but ektao reply deo na! Eto manush re reply deo amder k deo na kno?
2,Amar salman
1,Pant ta beshi long hye gese tmr dhett manay nai
2,Natok r quantity baraow
2,Dada winter collection koi (2) 
1,salman tmk 1st a khuje na pawa ami cz tmr pasher gula tmr thake o beshi joss joss
2,Aj goriv bole Salman er moton gortha jaetha pari na
2,Live dakte chai
2,Notun collection
2,Dawat dilen na je
0,Big fan vhai
0,Tmk cute lgtece
0,Ettow sundooor kenooo tumiiimore gelaaam toh
0,Apnk amar valo lage
2,Klka tumer Sathe consert a dakha hoia silo bro Tumi Khub chillaya chillaya Artcell ar song gaytesile
0,Wow Tomake khub dashing lagche babu
0,tumi ekta jaan
0,Apnar kno post manei reply dekha jabe... Khub valo lage bepar ta Onnoder je vab
