1,Live Cholchilo Jkhn Tkhn Azan Dichillo Kno Maye Mathai Kapor to Dainee Ulto Natok Serial er Prochar Nia Sobai Busy bah...............
2,Orre...eto purai amar moto....ei pose sei pose
0,Shuvo kamona roylo apu
1,Ajan ditache. Ektar matha. Kumta nai cccccc
2,Family crisis er sobyk onk miss kori...natok ta k o onk miss kori
2,apu kbe asbe Notun prbo
0,Tumader 2joner biye holy valoy hobe
1,Ay hay tomi to sundori na..ato din vablam koto sundori
1,Azan dey giya namaz poren
1,Nafakor nafak bondo kor live azan or
1,Kumta dey nai. Ektao.
2,Apu okhana kisar onustan hosca
2,Asalamulaykum kmn acen sobay onek din por aksathe
1,pan khaise dat holud 
1,Tumi aco jotodin kheye jabo totodin
2,Amader shamim vai kothay
2,Ami live ta nibo apu
2,Azan ditase live ta off kore dio 
0,Onek shundor lagsay
2,Aktu por Facebook uploaded diben
2,Tumi ki notun kudi te chila
2,Amader jeno biya hoye
2,shobdo mathai ashcho ei room dekhe
0,Ki shundor
2,I want those পর্দা
2,Apu kichu mone korben na .porda gulo kotha theke kina naki kapor kine baniachen
0,Apu painting gulor ektu kache theke pic diben pls Painting gulo khub shundor
0,Ma sha Allah
2,Accha eto patla porda dewa je etate ki bhalo moto cover hoy I mean baire theke ki dekha jay naki jayna?
0,khub sundor to room
0,Ki shundor!!
0,koto sundr
2,10 ta soinik marle 10% waiver
2,"ghatite lukay lukay assignment korba, present sir jore bolte shomossha holle chat box e likhba shobai "
2,R exam O ditay hoitoh
2,Egulare ki sunglass bole Vai
2,Agolo tho dubai a kaj korar jonno gorom kal a use kore oi gola
1,Vai apnar mathai prblm ase vlo akta gaini daktar dkhn  Othoba prosuti bivage 1 mnt vorti thaken dkbn Aste Aste sob tik hoye gase
2,2018 sesh dike patwatuli daksilam same yellow tar moto ! ki tmi nah prsila ata!
1,toi aigula koira tk kamac kemna ?
1,Hur miya ke bolse pabe na ei sunglasses Choto belar amr nani amma ke ei chosma cokhe dite sekhesi cokhe problem silo bole
1,"Sala purai cartoon, akbar biker dalal, akbar sunglass er dalar. Koydin por hoibo magir dalal..."
0,Light jole emn kono sunglass ache naki
1,J tah gift korcha ajke thake 3years ageh raster local market a dahkhe ar aita bole 2021 upgrade
2,Kothai vaia ai showroom ta
1,Joker marka lokder jonno ai sunglass gula jombe
1,bondhi
1,abal coda lagtase purai cammerar samne jemne mukh anse khaiya laibo sob
1,Hollowood er singer ra ekhan thekei tahole kene aj bujhlam..
2,oidin jeida khujsilen oitar jonno jaiyen ei babu vai er dokan e
1,Achoda binchod! Sunglass na garir headlight ay gula
1,Sunglass tr pun dia dukai de bta
2,luis vuton er sunglass kinba?
1,"Muchi marka chosma, tobuo tomar face a sunglasses porar pore Muchi o fail."
2,Vai ektu Shobji bazar er update janaben r kunu offer thakle bolben
1,Ai sunglass ta beshi boro o na beshi choto o na akdom abal choda vlogger shopon khan er chokher size. Hala abaal
1,Aiii babu vai er dokan takei ami sun glass kini but dam onk besi nei babu vai
2,Sunglass naki jhalai korar shomoy j pore glass mask oita?
2,Fardin Akash tora DJ sunglass chaisili. Ekhan theke kinte Parish
2,Eita Fake sunglass naki
2,Luis button bollo kn
1,Shob koyta k cartoon lagche
1,Sopon vi baal katar jonno vlo kon machine ta hbe
1,Tor babu vai ar laiga banaise manda her dokane e paibo
1,eishob glass poira bair hoile mainshe tiktoker vaiba pidaia maira felbe
1,"thik ee bolsen, apnr moto manush Bangladesh a kom ache tai dokanwala keno ai sunglass uthaiya loss khaibo..."
0,"bhai iter vlog gula dekhis, ektar theke ekta cheez"
1,Ekhn theke oi dokan er brand ambassador shopon bosti
2,Bhai choto belate ami ei chosma gula vunvunir sathe croy kortam tobe apni thiki bolechen ei chosma gula ekhon kothaw pawa jai na R ekhon toh brander jug tai hoito ei khelnar chosma gula kothaw pawa jai na
1,Kanachoda sunglass nki eta
1,Ai shawua ekhono video kmne banay
1,Bainchod chokher theke chosma 4 dubble
1,"Besi boro na choto na, 14 litar ful dhore."
1,Regular price 700 Shapon khan er nam bolle 500 R jkhn ami Dhaka College bolmu tkhn 150 Kintu amr ruchi eto kharp na
1,Solaiman babul r ei muro gular jonno perfect place
2,luis button beda luis vuitton na kintu
2,Amake ekta dj sunglass kine de
1,Accsculusib changelas  wahhh qurbani is close and already chagol is shooting himself in online 
1,tumader moton fagol.sagol koi taki je ain
1,2.5 minute ee ja louis button
1,Kire pagol ar koris na aie shob paglami sala modon
2,GUCCI sunglass in 500 taka r u kidding me bruh
1,frammeggeet a er theke vlw sungls pauyya jai kom dame...baler vlg koroo
1,Elephant road e koto high quality Sunglass pawya jay R eisob ki khet 50 takar plastic er sunglasses bole 450 tk
1,Underwear neya video ta bad pore gelo na vhai
1,Fokinnir dol er fokinni kajkarbar
1,Sayem Hossain Santho dekhsos ki high level er pinik tai na dey
2,sunglass lagbe ?
1,Gucci tor hogar moddhe bc
1,Vaire vai kasra bosti collection
2,"Karan johar,Ranvir Singh,Badshah ora tahole ekhan thekei kiney!"
1,Bishhash kor bai! Kana manusher moto lagtese!
1,Mood tai nosto hoiya gelo baal tare deikha
1,ei halay kda vau?
1,tr package er maire chudi
1,Vai samne ja pan tai review koren
2,golinstane 80 t.k kore bechtace ami kini nai
2,Vai tumi jeta porso.Ay ta jalaiar dokane o pawaa jabe...
1,Horek rokom pagol aisha milaise mela
2,Ei shob sunglass zomoz 6 e deksi.
2,amake ekta xculusive 2021 er update sunglass kine deu bondhu
1,Vai biya koira bou re unboxing er ekta vlog koiren
1,Pura ekta abal vloggar in bd
2,Ei maal gulaa tahole orai beche
0,boss ar vlog dekhben bangladesher sera vlogger
1,Ai sunglass gula tor pukty te dhukia ne ansan sunglass asob pore baire ber hole manus chor bole mairbe Ai sob ansan glass ar jonne tor ai obostha
1,Cor muto deka Jay Vai
1,Tumi janga niye akta volog koru 
1,Tokai tiktoker der sunglass
1,Apnar pochondo ato kheth
1,Haire abal chuda re
1,Vai jonogon aato ghetna.
1,A gula porle to kana kana lage
2,Shapon mane oi carton
1,Bolod eyebrows deke sunglass por a nah seta ageh shek
0,Osthir Jinish Original Rayban Sunglass Fail
2,"Ektu por por ""price koto vaiya?"""
2,Vaire 450 takar sun glass ami ray ban tomford 40000tk dia 2 ta nilam
1,Ondho rao to egula pore na Fokinni
1,Ekta o sundor na 
1,Airokom joker sunglass pora theke na porai bhalo original Brand rayban police sunglass o fail ai gular shamne
1,Abal pro max next Level er হালা গন্ড মূর্খ
1,Ki agula.sob cartoon marka sunglass
1,Akta jangar doknar blog korla valo manito baicod
2,niy asi mama chol luis button
2,Tui na sunglass kinbi
1,Emn ruchihin sunglass 
1,Bokachoa glass keo kinbo o na
1,Abal chuda lagse vai Dekhe Mon ta banchod hye gelo
1,ai gula ki sunglass naki kanadr chosma
2,Sopon khan vlogs cmnt poro vai
2,Newmarket a 700 tk jinis 150 tk bece vai . Apni dama dami korte paren na
2,Amr moto k k comment porte ashcen
1,Extreme level er bokachoda
1,Purai abar er moto lagche toke
1,Free dile to nibe na keo
2,bheya agula ke sun glass
1,Hala tore kanar moto deja ja
2,Ami comment Porte Porte hasiya she’s
1,Vai jainga ar vlog chai
2,Jegula futo hobe na
1,"Ak jaingai ajibon,jekhane thakbe na kono gebon"
1,Sunglass er dokan e ganja beche
1,Bisso modon hala tore modon banaya dise
1,Pampers ar akta vlog korish tui
2,ostad dj sun glass ki Ben naki
2,Plzz only girls and members barle sale ar sob pic uploaded debu .plz pramod me
1,Are Bukacuda exclusive r mane janos?
2,Bai under pan ki gift kora jaibo.
0,shopon vai rocks
1,Shopon khan jar vediio kre korar age ki gaja kabai dei nki
1,Shapon er putkite ekta chidro koira de
1,Pura bekub gadha pagol oshobvo bokhate r ful to acey
2,Ata ki silo
2,Hetere ki komu vasa khuji paitachi na
1,Dui chagol er milon mela
1,Tor nanir heda
1,Tate amar bal sera gelo.
1,Halar cagoler baccha
1,Original abal ekta
1,Oy nijeo bokhate.... Bikriyo kore shob bokhater jinish...
1,maa da ladlas bigad gayaa
1,2 jon sagoler onk din por dekha hoile ja hoy r ki
2,Ai sob falto karon ajke boikot korlam
1,Sagol dekhsi jibon a but amn ram sagol age dekhinai..
1,Sala joto sob pagla chuda..
1,Dui boka choda ak sathe
1,Tumar ka6e aa6e sudhu boka chuda gaan
2,A ki bolca ai sob?
1,Pagol.. Val akta
1,Sagol gece pagoler dokane
1,Ai sob Abar cuda asa konta
1,O jokhoni showroom e jay tokhoni naki ko na k pay tao bike kina obosthay abr er upor uni abar tar fan. Bosti hala
1,Khanki magir po tui kinna de ekta amare...emni kinar shock er tu sauuya dahao haradadin
1,camera vala na original colour photo deka jayna don’t good camera and valo camera kinen
2,bhai honda hornet prices koto asbe
2,aita box sara asa nai red colour ta
0,Jak vai gixxer bola ta improve hoise .. alhumdulillah
1,Kosai marka showroom
2,vai pulsar 125 bike ki ase bangladese.
